"Biomarker.IDs","Biomarker.Names"
"HGNC:23627","GPR149"
"HGNC:20884","PLEKHG1"
"HGNC:19710","HHIPL1"
"HGNC:7377","MSRA"
"HGNC:13221","BCL11A"
"HGNC:21578","RNF144B"
"N/A","LINC00403"
"HGNC:10296","RPH3AL"
"HGNC:20256","SFMBT2"
"HGNC:9997","RGS16"
"HGNC:18232","BSPRY"
"HGNC:11191","SOX11"
"HGNC:17514","HOMER3"
"HGNC:20956","PHACTR2"
"HGNC:24582","SAMD13"
"HGNC:34436","LCNL1"
"HGNC:3388","EPHA4"
"HGNC:4600","GRM8"
"HGNC:6130","ISG20"
"HGNC:50530","LINC01324"
"HGNC:50680","LINC01399"
"HGNC:4212","GDA"
"HGNC:1762","CDH3"
"HGNC:16465","EPSTI1"
"HGNC:33426","GGTLC3"
"HGNC:42435","ADAMTS9-AS2"
"HGNC:8614","PAWR"
"HGNC:14714","OR5AH1P"
"HGNC:5196","HS3ST3A1"
"HGNC:20983","NECAB1"
"HGNC:24600","ANKS1B"
"HGNC:9668","PTPRD"
"HGNC:9700","IGDCC3"
"HGNC:7648","NBEA"
"HGNC:21035","ARHGAP18"
"HGNC:16941","SCGN"
"HGNC:3519","EYA1"
"HGNC:21616","TNS3"
"HGNC:30083","KCNIP4"
"HGNC:51163","LINC01497"
"N/A","UG0898H09"
"HGNC:51304","ZIM2-AS1"
"HGNC:25440","TMTC2"
"HGNC:10017","RIT2"
"HGNC:6589","LHFPL3"
"HGNC:30991","LRIG3"
"HGNC:233","ADCY2"
"HGNC:4580","GRIK2"
"HGNC:35708","RPL35AP11"
"HGNC:2338","CRABP1"
"HGNC:21075","TMEM200A"
"HGNC:16267","WNT16"
"HGNC:4153","GAPDHP60"
"HGNC:28751","LYPD6"
"HGNC:15522","KCNIP2"
"HGNC:26183","MCTP1"
"HGNC:26159","CPED1"
"HGNC:25057","FAM89A"
"HGNC:4263","GHR"
"N/A","SSTCRHR2"
