,Label,OBO Ontology ID,Markers
36,Papillary Tip Epithelial,[papillary tips cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000597),"KRT13,LCN2,EHF,EEF1A1,SLPI,S100A6,TACSTD2,SPINK1,DHRS2,GPX2"
37,Parietal Epithelial,[parietal epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000452),"KIRREL3,CFH,SLC4A11,KCNT2,LINC01435,KLRG2,ALDH1A2,CLDN1,FAM189A1,RBFOX1"
38,Peritubular Capilary Endothelial ,[peritubular capillary endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001033),"RAMP3,PLVAP,CEACAM1,ADGRL4,EGFL7,TEK,NOSTRIN,EML1,FLT1,GPM6A"
39,Plasma,[plasma cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000786),"MZB1,IGHG3,IGHG1,POU2AF1,IGHGP,IFNG-AS1,IGHA1,TENT5C,MEI1,IGKC"
40,Plasmacytoid Dendritic,[plasmacytoid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000784),"CLEC4C,LINC01478,CLIC3,FAM129C,CUX2,VASH2,BCL11A,RUBCNL,LINC00996,FLT3"
41,Podocyte,[glomerular visceral epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000653),"NPHS2,ADAMTS19,WT1,NPHS1,FMN2,NTNG1,PTPRQ,ZNF804A,TARID,ARHGEF26"
42,Proximal Tubule Epithelial Segment 1,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),"AFM,SLC36A2,PLG,PAH,SLC13A1,AGXT2,SLC34A1,ACMSD,SLC28A1,SLC17A1"
43,Proximal Tubule Epithelial Segment 2,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),"SMIM2-AS1,SLC13A3,ACSM2B,ACSM2A,CLDN10,SLC2A9,SLC5A12,SUGCT,CRYL1,ERRFI1"
44,Proximal Tubule Epithelial Segment 3,[epithelial cell of proximal tubule](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002306),"AGXT2,CDH9,LINC00671,ACMSD,SLC28A1,SMIM2-AS1,TINAG,SLC13A1,SLC6A13,DPYS"
45,Renin-positive Juxtaglomerular Granular,[kidney granular cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000648),"ABCC8,REN,COL13A1,CACNB2,ADCY3,PIP5K1B,WFDC1,GRID2,PRKG1,SLIT3"
46,Schwann / Neural,[Schwann cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002573),"CDH19,NRXN1,PRIMA1,ZNF536,NCAM1,CADM2,GINS3,CYP27C1,SCN7A,KIRREL3"
47,T,[T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_000084),"IL7R,THEMIS,ITK,BCL11B,LINC01934,SLFN12L,CAMK4,RHOH,CD247,CD96"
48,Tissue-resident Macrophage,[macrophage](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000235),"MS4A6A,CD163,STAB1,SLC1A3,COLEC12,F13A1,MRC1,TLR2,CD163L1,SLCO2B1"
49,Vascular Smooth Muscle / Pericyte,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),"PDGFRB,CARMN,PRR16,CCDC102B,ADGRL3,RGS5,MAP1B,COL25A1,DLC1,HS6ST3"
